time,type,quantity,medium,median,pers90,pers99,max
22.29.45,3,93241,0.0002182441415256867,0.000211,0.000254,0.000407,0.001441
22.29.45,11,5337,0.000233940228592845,0.000223,0.000282,0.00038,0.000867
22.29.45,9,5409,0.0002680227398779804,0.000255,0.000313,0.000383,0.000729
22.29.45,40,251,0.00027875697211155386,0.000262,0.000321,0.000425,0.000737
22.29.45,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.45,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.45,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.45,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.46,1,93173,0.00024755401242847473,0.000244,0.000275,0.000341,0.00141
22.29.46,3,93311,0.00021824679834099375,0.000211,0.000254,0.000407,0.001441
22.29.46,11,5337,0.000233940228592845,0.000223,0.000282,0.00038,0.000867
22.29.46,9,5409,0.0002680227398779804,0.000255,0.000313,0.000383,0.000729
22.29.46,40,252,0.0002788571428571429,0.000262,0.000321,0.000425,0.000737
22.29.46,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.46,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.46,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.46,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.47,1,93222,0.00024755614554502456,0.000244,0.000275,0.000341,0.00141
22.29.47,3,93352,0.00021824283357610338,0.000211,0.000254,0.000407,0.001441
22.29.47,11,5351,0.000233811810876474,0.000223,0.000282,0.00038,0.000867
22.29.47,9,5423,0.0002680615895260917,0.000255,0.000313,0.000383,0.000729
22.29.47,40,252,0.0002788571428571429,0.000262,0.000321,0.000425,0.000737
22.29.47,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.47,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.47,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.47,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.48,1,93261,0.0002475564919955639,0.000244,0.000275,0.000341,0.00141
22.29.48,3,93394,0.00021823896610056678,0.000211,0.000254,0.000407,0.001441
22.29.48,11,5355,0.0002338134453781535,0.000223,0.000282,0.00038,0.000867
22.29.48,9,5428,0.0002680495578481936,0.000255,0.000313,0.000383,0.000729
22.29.48,40,252,0.0002788571428571429,0.000262,0.000321,0.000425,0.000737
22.29.48,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.48,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.48,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.48,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.49,1,93301,0.00024755358463465874,0.000244,0.000275,0.000341,0.00141
22.29.49,3,93433,0.00021823581603926172,0.000211,0.000254,0.000407,0.001441
22.29.49,11,5357,0.00023381650177338283,0.000223,0.000282,0.00038,0.000867
22.29.49,9,5432,0.0002680439985272449,0.000255,0.000313,0.000383,0.000729
22.29.49,40,252,0.0002788571428571429,0.000262,0.000321,0.000425,0.000737
22.29.49,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.49,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.49,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.49,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.50,1,93358,0.00024754903704019265,0.000244,0.000275,0.000341,0.00141
22.29.50,3,93484,0.00021823109836973618,0.000211,0.000254,0.000407,0.001441
22.29.50,11,5357,0.00023381650177338283,0.000223,0.000282,0.00038,0.000867
22.29.50,9,5433,0.00026804454260997507,0.000255,0.000313,0.000383,0.000729
22.29.50,40,252,0.0002788571428571429,0.000262,0.000321,0.000425,0.000737
22.29.50,42,4,0.00018675,0.000177,0.00022,0.00022,0.00022
22.29.50,64,25,0.00031096000000000004,0.000295,0.000356,0.000474,0.000474
22.29.50,66,6,0.000321,0.000285,0.000335,0.000492,0.000492
22.29.50,37,2,0.0001895,0.0001895,0.00019,0.00019,0.00019
22.29.51,1,93418,0.0002475439422809128,0.000244,0.000275,0.000341,0.00141
22.29.51,3,93541,0.0002182291508535988,0.000211,0.000254,0.000407,0.001441
22.29.51,11,5359,0.00023381470423586707,0.000223,0.000282,0.00038,0.000867
